ID_employe,Age,Attrition,BusinessTravel,Department,Education,EnvironmentSatisfaction,Gender,JobInvolvement,Job Role,JobSatisfaction,PerformanceRating,WorkLifeBalance,MaritalStatus,StockOption,OverTime,PercentSalaryHike,NumCompaniesWorked,TotalWorkingYears,YearsSinceLastPromotion,YearsWithCurrManager,DistanceFromHome,HourlyRate,DailyRate,MonthlyRate,Salary,TrainingTimesLastYear,DateToday,DateBirth,DateStart,DateDeparture,YearsAtCompany,AgeGroup,TerminationType,AgeHire,HireType,YearsAtCompany Group,EmploymentType
401,35,Yes,Travel_Rarely,Sales,Master,Very High,Male,Medium,Sales Executive,Very High,Excellent,Better,Single,None,Yes,12,1,8,7,4,4,48,950,8450,5828,0,31/07/2022,23/03/1987,10/02/2010,21/02/2017,7,3_Between 30 and 40,1,28,1,4_Between 5-10 years,Full-time
190,32,Yes,Travel_Rarely,Research & Development,Bachelor,Low,Female,High,Laboratory Technician,Low,Good,Best,Single,None,No,22,7,10,0,4,9,41,1033,10224,4200,2,31/07/2022,17/09/1990,28/01/2013,28/07/2017,4,3_Between 30 and 40,2,28,1,3_Between 3-5 years,Full-time
325,33,Yes,Travel_Rarely,Research & Development,Bachelor,High,Male,High,Laboratory Technician,Very High,Excellent,Bad,Married,Low,Yes,13,5,8,0,4,14,58,813,22149,2436,2,31/07/2022,03/01/1990,17/07/2013,11/08/2017,4,3_Between 30 and 40,1,29,1,3_Between 3-5 years,Contractor
1310,39,Yes,Travel_Rarely,Research & Development,Bachelor,High,Male,High,Research Scientist,Low,Excellent,Better,Single,None,No,13,0,6,0,3,23,93,360,22154,3904,2,31/07/2022,19/02/1984,29/04/2013,15/08/2017,4,3_Between 30 and 40,1,35,1,3_Between 3-5 years,Full-time
1004,30,Yes,Travel_Rarely,Research & Development,Bachelor,Low,Female,High,Research Scientist,High,Excellent,Better,Married,None,Yes,11,4,7,0,1,22,48,138,11539,2132,2,31/07/2022,18/07/1993,03/04/2013,20/08/2017,4,3_Between 30 and 40,1,26,1,3_Between 3-5 years,Full-time
147,34,Yes,Travel_Frequently,Research & Development,Bachelor,Low,Male,Low,Laboratory Technician,High,Outstanding,Better,Single,None,Yes,24,1,9,0,6,7,66,658,22887,6074,3,31/07/2022,27/11/1988,08/08/2009,21/08/2017,8,3_Between 30 and 40,2,26,1,4_Between 5-10 years,Full-time
1042,36,Yes,Travel_Rarely,Research & Development,Master,High,Female,Very High,Laboratory Technician,Low,Excellent,Better,Single,None,No,16,1,18,15,14,16,43,885,8269,2743,1,31/07/2022,26/04/1987,03/12/2000,09/09/2017,17,3_Between 30 and 40,1,19,1,7_15+ years,Full-time
502,34,Yes,Non-Travel,Sales,Bachelor,Low,Male,Very High,Sales Executive,Very High,Excellent,Good,Single,None,Yes,13,8,9,0,4,19,67,1362,4652,5304,3,31/07/2022,05/09/1988,12/06/2013,22/09/2017,4,3_Between 30 and 40,1,30,1,3_Between 3-5 years,Full-time
967,36,Yes,Travel_Rarely,Sales,Below College,High,Male,Medium,Sales Executive,Very High,Excellent,Better,Married,Low,Yes,11,1,16,3,7,3,51,530,5518,10325,6,31/07/2022,15/05/1987,30/04/2002,23/09/2017,15,3_Between 30 and 40,1,21,1,7_15+ years,Contractor
1157,33,Yes,Travel_Rarely,Sales,Master,Low,Female,High,Sales Executive,Low,Good,Better,Single,None,Yes,17,0,6,0,3,9,77,603,18385,8224,3,31/07/2022,10/05/1990,26/02/2013,11/10/2017,5,3_Between 30 and 40,1,28,1,3_Between 3-5 years,Full-time
1573,38,Yes,Travel_Rarely,Research & Development,Bachelor,High,Male,High,Manufacturing Director,Medium,Good,Better,Married,Mid,No,11,4,7,1,4,2,81,903,7653,4855,2,31/07/2022,24/09/1984,14/07/2013,28/10/2017,4,3_Between 30 and 40,2,34,1,3_Between 3-5 years,Full-time
554,24,Yes,Travel_Rarely,Sales,Below College,Low,Female,High,Sales Representative,Medium,Excellent,Better,Single,None,Yes,16,1,6,1,4,1,62,1448,21972,3202,4,31/07/2022,02/02/1999,07/08/2013,08/11/2017,4,2_Between 20 and 30,1,20,1,3_Between 3-5 years,Full-time
161,56,Yes,Travel_Rarely,Research & Development,Master,Medium,Female,High,Research Scientist,Medium,Excellent,Better,Married,High,Yes,18,9,7,4,3,14,72,441,4510,4963,2,31/07/2022,15/09/1966,21/07/2013,10/11/2017,4,5_Between 50 and 60,1,52,1,3_Between 3-5 years,Full-time
297,30,Yes,Travel_Rarely,Research & Development,Bachelor,Very High,Female,High,Research Scientist,Low,Excellent,Better,Single,None,Yes,11,5,8,0,4,3,88,1005,8556,2657,5,31/07/2022,14/12/1992,17/03/2013,29/11/2017,5,3_Between 30 and 40,1,25,2,3_Between 3-5 years,Full-time
1905,34,Yes,Non-Travel,Research & Development,Master,Very High,Male,Low,Research Scientist,Low,Outstanding,Better,Married,Low,Yes,23,1,5,3,0,16,85,967,14460,2307,2,31/07/2022,04/10/1988,23/05/2013,14/12/2017,5,3_Between 30 and 40,1,29,2,3_Between 3-5 years,Full-time
1489,34,Yes,Travel_Rarely,Sales,Master,Low,Female,Medium,Sales Executive,Medium,Outstanding,Best,Single,None,Yes,23,0,16,10,10,24,40,790,7815,4599,2,31/07/2022,29/08/1988,20/11/2003,29/12/2017,14,3_Between 30 and 40,1,20,1,5_Between 10-15 years,Full-time
785,47,Yes,Travel_Frequently,Sales,College,Medium,Female,Very High,Sales Executive,High,Excellent,Better,Single,None,Yes,12,4,8,1,3,27,77,719,10339,6397,2,31/07/2022,30/06/1976,07/08/2013,22/01/2018,4,4_Between 40 and 50,1,43,1,3_Between 3-5 years,Contractor
1389,31,Yes,Travel_Rarely,Research & Development,Master,Very High,Male,High,Manufacturing Director,High,Good,Good,Married,Mid,Yes,15,1,10,6,7,22,98,330,21057,6179,3,31/07/2022,12/06/1992,03/03/2008,24/01/2018,10,3_Between 30 and 40,1,21,1,5_Between 10-15 years,Full-time
1318,40,Yes,Travel_Rarely,Sales,Master,Very High,Male,Medium,Sales Executive,Medium,Good,Better,Single,None,Yes,12,2,9,1,0,25,57,299,17235,9094,2,31/07/2022,07/09/1982,30/07/2013,08/02/2018,5,4_Between 40 and 50,2,35,2,3_Between 3-5 years,Full-time
1684,23,Yes,Travel_Rarely,Research & Development,Below College,Very High,Male,Medium,Laboratory Technician,High,Excellent,Better,Single,None,Yes,11,1,5,1,2,8,93,1320,20586,3989,2,31/07/2022,08/10/1999,06/12/2013,08/02/2018,4,2_Between 20 and 30,2,19,1,3_Between 3-5 years,Full-time
1487,29,Yes,Travel_Frequently,Sales,Bachelor,Low,Female,High,Sales Executive,Medium,Excellent,Bad,Single,None,No,11,5,7,0,0,13,51,115,17485,5765,4,31/07/2022,02/05/1994,05/06/2013,08/02/2018,5,2_Between 20 and 30,1,24,1,3_Between 3-5 years,Full-time
27,36,Yes,Travel_Rarely,Sales,Master,High,Male,Medium,Sales Representative,Low,Outstanding,Better,Single,None,No,23,7,10,0,3,9,82,1218,6986,3407,4,31/07/2022,03/01/1987,20/08/2013,19/02/2018,5,3_Between 30 and 40,1,31,1,3_Between 3-5 years,Full-time
1818,26,Yes,Travel_Rarely,Human Resources,College,Very High,Female,High,Human Resources,Medium,Low,Better,Married,None,Yes,11,0,6,1,4,20,69,920,6889,2148,3,31/07/2022,24/07/1997,10/01/2014,31/03/2018,4,2_Between 20 and 30,2,22,1,3_Between 3-5 years,Full-time
1809,37,Yes,Travel_Rarely,Research & Development,Master,Very High,Male,High,Manufacturing Director,Low,Excellent,Bad,Single,None,No,15,1,10,0,8,10,58,370,4992,4213,4,31/07/2022,08/03/1986,30/05/2008,31/03/2018,10,3_Between 30 and 40,1,27,1,5_Between 10-15 years,Full-time
1792,44,Yes,Travel_Frequently,Research & Development,College,High,Male,High,Research Scientist,Medium,Excellent,Good,Divorced,High,Yes,12,1,6,2,3,1,99,429,11092,2342,2,31/07/2022,14/01/1979,25/01/2014,11/04/2018,4,4_Between 40 and 50,1,40,1,3_Between 3-5 years,Full-time
433,52,Yes,Travel_Rarely,Research & Development,Master,High,Male,Medium,Research Scientist,Medium,Excellent,Good,Married,None,No,15,2,11,7,7,8,85,723,17747,4941,3,31/07/2022,19/03/1971,02/06/2010,21/04/2018,8,5_Between 50 and 60,1,44,1,4_Between 5-10 years,Contractor
842,55,Yes,Travel_Rarely,Sales,Below College,High,Male,High,Sales Executive,Very High,Excellent,Good,Single,None,No,16,4,12,7,3,2,37,436,21519,5160,3,31/07/2022,23/04/1968,14/04/2010,12/05/2018,8,5_Between 50 and 60,1,47,1,4_Between 5-10 years,Contractor
1534,40,Yes,Travel_Rarely,Research & Development,Master,Very High,Male,High,Laboratory Technician,Low,Excellent,Bad,Single,None,No,14,3,15,1,0,9,86,676,21831,2018,3,31/07/2022,02/10/1982,28/12/2013,13/05/2018,4,4_Between 40 and 50,2,36,1,3_Between 3-5 years,Full-time
787,55,Yes,Travel_Rarely,Research & Development,Bachelor,Very High,Male,High,Manager,Low,Excellent,Better,Married,Low,Yes,13,5,24,1,4,2,78,725,21199,19859,2,31/07/2022,18/02/1968,26/06/2013,06/06/2018,5,5_Between 50 and 60,1,50,1,3_Between 3-5 years,Full-time
1127,39,Yes,Travel_Frequently,Research & Development,Bachelor,Low,Male,High,Healthcare Representative,Very High,Excellent,Better,Divorced,High,No,11,7,21,11,5,2,84,203,13547,12169,4,31/07/2022,12/04/1984,17/06/2001,22/07/2018,17,3_Between 30 and 40,1,22,1,7_15+ years,Full-time
1188,43,Yes,Travel_Rarely,Sales,Bachelor,Low,Female,Low,Sales Executive,High,Excellent,Good,Single,None,No,13,8,7,1,3,9,85,1372,9489,5346,2,31/07/2022,12/11/1979,12/03/2015,25/07/2018,3,4_Between 40 and 50,1,40,1,2_Between 1-3 years,Full-time
1420,49,Yes,Travel_Frequently,Research & Development,College,Low,Male,Medium,Laboratory Technician,Low,Outstanding,Better,Single,None,No,20,3,20,1,3,28,97,1475,22710,4284,2,31/07/2022,23/03/1974,01/11/2014,15/08/2018,4,4_Between 40 and 50,1,45,1,3_Between 3-5 years,Full-time
2032,56,Yes,Travel_Rarely,Research & Development,College,Very High,Male,High,Laboratory Technician,High,Excellent,Bad,Married,Low,No,11,8,14,9,8,7,72,310,3666,2339,4,31/07/2022,24/06/1967,14/01/2009,18/08/2018,10,5_Between 50 and 60,1,46,1,5_Between 10-15 years,Full-time
1869,46,Yes,Travel_Rarely,Sales,Bachelor,High,Female,High,Sales Executive,Medium,Outstanding,Better,Married,High,No,21,5,14,0,7,10,64,1254,14011,7314,2,31/07/2022,08/05/1977,17/01/2011,01/09/2018,8,4_Between 40 and 50,1,38,1,4_Between 5-10 years,Contractor
315,29,Yes,Travel_Rarely,Research & Development,Below College,High,Male,Medium,Research Scientist,Very High,Low,Good,Single,None,Yes,13,1,4,0,1,18,86,896,14961,2389,3,31/07/2022,01/05/1994,21/02/2015,10/09/2018,4,2_Between 20 and 30,2,25,1,3_Between 3-5 years,Full-time
142,25,Yes,Travel_Rarely,Sales,Bachelor,High,Male,Medium,Sales Executive,High,Excellent,Better,Single,None,Yes,11,1,6,0,3,5,46,240,26959,5744,1,31/07/2022,18/07/1998,05/02/2013,13/09/2018,6,2_Between 20 and 30,1,19,1,4_Between 5-10 years,Full-time
796,26,Yes,Travel_Rarely,Sales,Bachelor,Very High,Male,Medium,Sales Executive,Low,Good,Good,Single,None,No,17,6,6,1,2,8,38,1146,3064,5326,2,31/07/2022,12/05/1997,27/03/2015,15/09/2018,3,2_Between 20 and 30,1,23,1,2_Between 1-3 years,Contractor
1106,25,Yes,Travel_Rarely,Research & Development,Below College,Very High,Male,High,Laboratory Technician,Very High,Excellent,Best,Married,Low,Yes,15,1,7,5,6,4,32,1219,4605,3691,3,31/07/2022,02/07/1998,29/07/2012,16/09/2018,6,2_Between 20 and 30,1,19,1,4_Between 5-10 years,Full-time
291,32,Yes,Travel_Rarely,Sales,Master,Very High,Male,Low,Sales Executive,Very High,Excellent,Good,Married,None,No,11,1,14,9,8,4,32,1045,25812,10400,2,31/07/2022,13/09/1990,20/06/2005,28/09/2018,13,3_Between 30 and 40,1,19,1,5_Between 10-15 years,Full-time
492,40,Yes,Travel_Rarely,Sales,College,High,Male,Medium,Sales Executive,High,Good,Better,Married,Mid,Yes,12,2,8,1,0,22,68,575,6110,6380,6,31/07/2022,28/08/1982,26/04/2013,29/09/2018,5,4_Between 40 and 50,2,35,1,3_Between 3-5 years,Full-time
1939,32,Yes,Travel_Frequently,Research & Development,College,Low,Female,Very High,Research Scientist,High,Excellent,Better,Single,None,Yes,14,3,8,0,3,5,47,238,15318,2432,2,31/07/2022,31/12/1990,12/04/2015,26/10/2018,4,3_Between 30 and 40,1,28,1,3_Between 3-5 years,Full-time
510,26,Yes,Travel_Frequently,Research & Development,Below College,High,Male,High,Research Scientist,Low,Outstanding,Better,Single,None,No,22,0,7,0,4,3,73,575,6582,3102,2,31/07/2022,15/07/1997,08/10/2013,06/11/2018,5,2_Between 20 and 30,1,21,1,3_Between 3-5 years,Full-time
1747,30,Yes,Travel_Frequently,Human Resources,Bachelor,High,Female,Medium,Human Resources,Very High,Excellent,Good,Divorced,Low,No,11,6,6,1,2,8,66,600,9732,2180,0,31/07/2022,15/02/1993,09/05/2015,22/11/2018,4,3_Between 30 and 40,1,26,1,3_Between 3-5 years,Full-time
1081,51,Yes,Travel_Rarely,Research & Development,Master,Low,Male,High,Research Scientist,High,Excellent,Best,Married,High,Yes,12,9,18,2,7,4,34,1323,10332,2461,2,31/07/2022,07/04/1972,06/07/2009,01/12/2018,9,5_Between 50 and 60,1,42,1,4_Between 5-10 years,Full-time
1038,52,Yes,Travel_Rarely,Sales,Below College,Low,Female,Low,Manager,Very High,Excellent,Better,Married,Low,No,15,1,33,6,9,2,57,266,25846,19845,3,31/07/2022,21/12/1970,25/08/1987,04/12/2018,31,5_Between 50 and 60,1,21,1,7_15+ years,Full-time
1277,45,Yes,Travel_Rarely,Sales,Bachelor,Low,Female,Low,Manager,Medium,Good,Better,Single,None,Yes,16,2,26,1,11,2,94,1449,2493,18824,2,31/07/2022,01/12/1977,18/07/1995,11/12/2018,23,4_Between 40 and 50,2,22,1,7_15+ years,Full-time
667,27,Yes,Travel_Rarely,Sales,Below College,High,Male,High,Sales Representative,Low,Excellent,Better,Divorced,Low,No,11,0,5,0,2,2,85,1420,16346,3041,3,31/07/2022,20/01/1996,13/05/2015,14/01/2019,4,2_Between 20 and 30,1,23,1,3_Between 3-5 years,Full-time
454,29,Yes,Travel_Rarely,Research & Development,Master,Medium,Male,Low,Laboratory Technician,Low,Excellent,Good,Married,None,Yes,11,1,7,0,7,8,77,318,4759,2119,4,31/07/2022,07/07/1994,16/02/2012,17/01/2019,7,2_Between 20 and 30,1,22,1,4_Between 5-10 years,Contractor
1907,56,Yes,Travel_Rarely,Research & Development,College,Low,Male,High,Laboratory Technician,Very High,Excellent,Better,Single,None,No,16,1,5,1,0,24,97,1162,10261,2587,3,31/07/2022,18/12/1966,20/04/2015,18/01/2019,4,5_Between 50 and 60,1,52,2,3_Between 3-5 years,Contractor
248,41,Yes,Travel_Rarely,Sales,College,Medium,Female,High,Sales Representative,Medium,Outstanding,Good,Single,None,Yes,22,1,4,0,2,20,70,1356,21728,3140,5,31/07/2022,11/07/1982,29/09/2015,18/01/2019,3,4_Between 40 and 50,1,38,1,2_Between 1-3 years,Contractor
328,33,Yes,Travel_Rarely,Research & Development,College,Low,Female,High,Laboratory Technician,Low,Good,Best,Married,None,No,20,7,13,1,7,2,39,465,21509,2707,3,31/07/2022,09/08/1989,25/04/2010,24/01/2019,9,3_Between 30 and 40,2,24,1,4_Between 5-10 years,Contractor
31,34,Yes,Travel_Rarely,Research & Development,Below College,Medium,Male,High,Research Scientist,Low,Excellent,Better,Single,None,No,11,2,8,1,3,6,83,699,17102,2960,2,31/07/2022,03/02/1989,19/12/2015,07/02/2019,3,3_Between 30 and 40,1,31,1,2_Between 1-3 years,Full-time
631,32,Yes,Non-Travel,Sales,Master,Very High,Male,Very High,Sales Executive,High,Good,Better,Married,None,No,12,8,6,1,2,11,60,1474,23914,4707,2,31/07/2022,31/01/1991,23/06/2015,17/03/2019,4,3_Between 30 and 40,2,28,1,3_Between 3-5 years,Full-time
1691,48,Yes,Travel_Frequently,Sales,College,Very High,Female,High,Sales Representative,High,Excellent,Better,Married,Mid,Yes,11,2,19,7,7,7,95,708,11740,2655,3,31/07/2022,17/09/1974,19/01/2011,21/03/2019,8,4_Between 40 and 50,1,40,1,4_Between 5-10 years,Full-time
1100,35,Yes,Travel_Rarely,Sales,Bachelor,Very High,Male,High,Sales Executive,Low,Outstanding,Better,Single,None,Yes,22,0,9,4,7,4,86,1204,10333,9582,2,31/07/2022,26/10/1987,25/04/2011,25/03/2019,8,3_Between 30 and 40,1,27,1,4_Between 5-10 years,Full-time
1797,35,Yes,Travel_Rarely,Sales,Bachelor,High,Male,High,Sales Executive,Very High,Excellent,Better,Single,None,Yes,18,1,10,7,7,27,84,303,13492,5813,2,31/07/2022,09/04/1988,17/03/2010,01/04/2019,9,3_Between 30 and 40,1,26,1,4_Between 5-10 years,Full-time
582,33,Yes,Travel_Rarely,Research & Development,Below College,Medium,Male,High,Manager,High,Excellent,Best,Married,None,Yes,12,7,15,3,4,15,56,1277,24619,13610,2,31/07/2022,25/01/1990,03/04/2013,09/04/2019,6,3_Between 30 and 40,1,27,1,4_Between 5-10 years,Full-time
1967,31,Yes,Travel_Frequently,Sales,Master,Low,Male,High,Sales Executive,Very High,Excellent,Better,Married,None,Yes,11,1,10,0,8,26,63,754,21075,5617,4,31/07/2022,17/06/1992,16/07/2009,14/04/2019,10,3_Between 30 and 40,1,21,1,5_Between 10-15 years,Contractor
118,46,Yes,Travel_Rarely,Sales,College,High,Male,Medium,Sales Executive,Very High,Excellent,Better,Single,None,No,16,1,9,4,7,9,64,669,13596,9619,3,31/07/2022,27/04/1977,26/11/2010,15/04/2019,8,4_Between 40 and 50,1,38,1,4_Between 5-10 years,Contractor
1082,28,Yes,Non-Travel,Research & Development,College,Medium,Male,Medium,Healthcare Representative,Low,Low,Good,Single,None,No,12,1,10,1,9,24,72,1366,12355,8722,2,31/07/2022,09/12/1994,17/01/2010,16/04/2019,9,2_Between 20 and 30,2,19,1,4_Between 5-10 years,Full-time
1010,35,Yes,Travel_Rarely,Research & Development,Master,High,Male,Medium,Laboratory Technician,Medium,Outstanding,Bad,Divorced,Low,Yes,24,1,5,0,2,14,39,622,10074,3743,2,31/07/2022,13/05/1988,16/01/2016,19/04/2019,3,3_Between 30 and 40,1,32,1,2_Between 1-3 years,Contractor
1380,35,Yes,Travel_Frequently,Sales,Master,Very High,Female,High,Sales Executive,High,Excellent,Good,Married,Low,Yes,18,0,5,3,2,18,67,662,23288,4614,0,31/07/2022,30/03/1988,04/11/2015,27/04/2019,3,3_Between 30 and 40,1,32,1,2_Between 1-3 years,Full-time
970,37,Yes,Travel_Rarely,Sales,Master,Low,Male,Medium,Sales Executive,High,Excellent,Bad,Married,None,No,11,5,17,11,7,1,46,625,14922,10609,2,31/07/2022,29/06/1986,28/01/2006,05/05/2019,13,3_Between 30 and 40,2,24,1,5_Between 10-15 years,Full-time
1459,31,Yes,Travel_Frequently,Research & Development,Doctor,High,Female,Very High,Manufacturing Director,Medium,Excellent,Better,Single,None,No,11,1,10,4,7,1,100,1445,8931,7446,2,31/07/2022,18/06/1992,25/05/2010,26/05/2019,9,3_Between 30 and 40,1,22,1,4_Between 5-10 years,Full-time
283,29,Yes,Travel_Rarely,Sales,Bachelor,Medium,Female,High,Sales Executive,Very High,Outstanding,Good,Married,High,No,22,1,10,1,9,27,35,121,24525,7639,3,31/07/2022,16/07/1994,15/03/2010,13/06/2019,9,2_Between 20 and 30,1,20,1,4_Between 5-10 years,Contractor
584,33,Yes,Travel_Rarely,Research & Development,Below College,Low,Male,Low,Laboratory Technician,Very High,Excellent,Better,Divorced,High,No,13,7,8,1,3,10,38,587,6705,3408,2,31/07/2022,15/10/1989,26/08/2015,03/07/2019,4,3_Between 30 and 40,1,29,2,3_Between 3-5 years,Contractor
179,51,Yes,Travel_Frequently,Research & Development,Master,Low,Male,Low,Manufacturing Director,Very High,Excellent,Better,Single,None,No,15,2,18,0,3,8,53,1150,25150,10650,2,31/07/2022,26/09/1971,24/12/2015,03/07/2019,4,5_Between 50 and 60,1,47,2,3_Between 3-5 years,Contractor
608,26,Yes,Travel_Frequently,Human Resources,Master,Medium,Female,High,Human Resources,High,Excellent,Good,Divorced,Low,Yes,11,0,8,1,0,17,58,426,22808,2741,2,31/07/2022,27/02/1997,24/01/2013,07/07/2019,6,2_Between 20 and 30,2,20,1,4_Between 5-10 years,Full-time
1960,28,Yes,Travel_Rarely,Research & Development,Bachelor,High,Male,Medium,Laboratory Technician,Very High,Good,Good,Divorced,Low,No,12,5,6,0,3,17,32,1404,18779,2367,2,31/07/2022,06/03/1995,21/05/2016,16/07/2019,3,2_Between 20 and 30,1,25,1,2_Between 1-3 years,Contractor
1639,35,Yes,Travel_Rarely,Sales,Bachelor,Very High,Male,Medium,Sales Executive,Low,Good,Better,Married,None,No,17,9,15,6,0,10,55,737,21530,10306,3,31/07/2022,26/10/1987,04/11/2006,20/07/2019,13,3_Between 30 and 40,2,22,1,5_Between 10-15 years,Full-time
163,31,Yes,Travel_Rarely,Sales,Master,Medium,Male,Low,Sales Executive,High,Good,Good,Married,None,Yes,18,4,12,7,7,6,76,249,20739,6172,3,31/07/2022,22/03/1992,19/11/2012,08/08/2019,7,3_Between 30 and 40,1,24,1,4_Between 5-10 years,Full-time
440,28,Yes,Travel_Rarely,Research & Development,Master,Low,Male,Low,Research Scientist,Very High,Excellent,Good,Married,None,Yes,13,5,5,2,2,2,84,1157,24737,3464,4,31/07/2022,23/09/1994,10/04/2017,16/08/2019,2,2_Between 20 and 30,1,26,1,2_Between 1-3 years,Contractor
650,31,Yes,Travel_Rarely,Sales,Master,Medium,Male,High,Sales Executive,Low,Excellent,Bad,Divorced,None,No,17,2,9,1,2,13,46,1365,11512,4233,2,31/07/2022,18/11/1991,12/11/2016,22/08/2019,3,3_Between 30 and 40,1,28,1,2_Between 1-3 years,Contractor
991,31,Yes,Non-Travel,Research & Development,College,High,Male,Medium,Research Scientist,Low,Outstanding,Better,Single,None,Yes,22,0,4,1,2,9,46,335,10322,2321,0,31/07/2022,23/07/1992,13/01/2017,17/09/2019,3,3_Between 30 and 40,1,28,1,2_Between 1-3 years,Full-time
1537,31,Yes,Travel_Frequently,Research & Development,Bachelor,Very High,Female,High,Research Scientist,High,Excellent,Bad,Single,None,No,12,1,7,7,7,3,33,561,4156,4084,2,31/07/2022,29/12/1991,15/11/2012,09/10/2019,7,3_Between 30 and 40,2,24,1,4_Between 5-10 years,Full-time
19,28,Yes,Travel_Rarely,Research & Development,Bachelor,High,Male,Medium,Laboratory Technician,High,Excellent,Better,Single,None,Yes,14,5,6,0,3,24,50,103,12947,2028,4,31/07/2022,07/10/1994,19/02/2016,24/10/2019,4,2_Between 20 and 30,1,24,1,3_Between 3-5 years,Full-time
2055,50,Yes,Travel_Rarely,Sales,Bachelor,Very High,Male,Medium,Sales Executive,Low,Low,Better,Divorced,Low,Yes,13,4,20,2,0,28,39,410,16586,10854,3,31/07/2022,02/02/1973,19/08/2017,07/11/2019,2,5_Between 50 and 60,2,48,2,2_Between 1-3 years,Contractor
1053,26,Yes,Travel_Frequently,Research & Development,Bachelor,Low,Male,High,Research Scientist,Low,Excellent,Better,Married,Low,Yes,14,6,6,1,2,2,57,342,15346,2042,2,31/07/2022,03/01/1997,12/06/2017,10/11/2019,2,2_Between 20 and 30,1,24,2,2_Between 1-3 years,Full-time
1319,52,Yes,Travel_Rarely,Sales,Bachelor,Medium,Male,High,Sales Executive,Medium,Good,Good,Single,None,Yes,19,9,10,7,7,5,64,1030,21534,8446,2,31/07/2022,06/05/1971,30/05/2012,11/11/2019,7,5_Between 50 and 60,2,45,1,4_Between 5-10 years,Full-time
